"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
1819.1	9030.79	0	0	0	1	0	0	0	0	0	0	0	0
1929.06	6690.11	0	0	0	1	0	0	0	0	0	0	0	0
3067.44	12908.29	0	0	0	1	0	0	0	0	0	0	0	0
2882.64	8059.56	0	0	0	1	0	0	0	0	0	0	0	0
3566.05	6761.22	0	0	0	1	0	0	0	0	0	0	0	0
2190.82	2792.32	0	0	0	1	0	0	0	0	0	0	0	0
1309.35	1348.2	0	0	0	1	0	0	0	0	0	0	0	0
4686.75	7325.09	0	0	0	1	0	0	0	0	0	0	0	0
3963.7	5318.08	0	0	0	1	0	0	0	0	0	0	0	0
6834.68	17654.94	0	0	0	1	0	0	0	0	0	0	0	0
5886.19	9645.55	0	0	0	1	0	0	0	0	0	0	0	0
5350.78	6241.22	0	0	0	1	0	0	0	0	0	0	0	0
